media;domain;country;region;language;overall
La Gaceta;gaceta.es;Spain;Western Europe;Spanish;43.5
La Gaceta de Salamanca;lagacetadesalamanca.es;Spain;Western Europe;Spanish;51.25
La Información;lainformacion.com;Spain;Western Europe;Spanish;61.5
La Nueva España;lne.es;Spain;Western Europe;Spanish;60.25
La Opinión A Coruña;laopinioncoruna.es;Spain;Western Europe;Spanish;55.75
La Opinión de Murcia;laopiniondemurcia.es;Spain;Western Europe;Spanish;52.75
La Opinión de Málaga;laopiniondemalaga.es;Spain;Western Europe;Spanish;56.5
La Opinión de Zamora;laopiniondezamora.es;Spain;Western Europe;Spanish;56.5
La Provincia;laprovincia.es;Spain;Western Europe;Spanish;53.75
La Razón;larazon.es;Spain;Western Europe;Spanish;71.25
La Rioja;larioja.com;Spain;Western Europe;Spanish;59.5
La Tribuna de Albacete;latribunadealbacete.es;Spain;Western Europe;Spanish;44.75
La Tribuna de Ciudad Real;latribunadeciudadreal.es;Spain;Western Europe;Spanish;41.5
La Tribuna de Cuenca;latribunadecuenca.es;Spain;Western Europe;Spanish;32.5
La Tribuna de Toledo;latribunadetoledo.es;Spain;Western Europe;Spanish;41.25
La Vanguardia;lavanguardia.com;Spain;Western Europe;Spanish/Catalan;76.75
La Verdad;laverdad.es;Spain;Western Europe;Spanish;64.25
La Voz de Almería;lavozdealmeria.com;Spain;Western Europe;Spanish;50.0
La Voz de Galicia;lavozdegalicia.es;Spain;Western Europe;Spanish/Galician;67.5
La nueva crónica;lanuevacronica.com;Spain;Western Europe;Spanish;40.75
La región;laregion.es;Spain;Western Europe;Spanish;54.0
La tribuna del país vasco;latribunadelpaisvasco.com;Spain;Western Europe;Spanish;22.75
La verdad de ceuta;laverdaddeceuta.com;Spain;Western Europe;Spanish;23.25
La voz;lavozdigital.es;Spain;Western Europe;Spanish;56.75
La voz de asturias;lavozdeasturias.es;Spain;Western Europe;Spanish;54.5
Lanza;lanzadigital.com;Spain;Western Europe;Spanish;50.0
Las Provincias;lasprovincias.es;Spain;Western Europe;Spanish;64.25
Levante;levante-emv.com;Spain;Western Europe;Spanish;64.75
Libertad Digital;libertaddigital.com;Spain;Western Europe;Spanish;67.5
Madrid Actual;madridactual.es;Spain;Western Europe;Spanish;41.0
Madrid Diario;madridiario.es;Spain;Western Europe;Spanish;52.0
Madrid Press;madridpress.com;Spain;Western Europe;Spanish;31.75
Mallorca diario;mallorcadiario.com;Spain;Western Europe;Spanish;47.0
Mediterráneo;elperiodicomediterraneo.com;Spain;Western Europe;Spanish;56.75
Mediterráneo Digital;mediterraneodigital.com;Spain;Western Europe;Spanish;27.5
Melilla Hoy;melillahoy.es;Spain;Western Europe;Spanish;41.0
Metropoli abierta;metropoliabierta.com;Spain;Western Europe;Spanish;36.25
Moncloa;moncloa.com;Spain;Western Europe;Spanish;42.0
Mundiario;mundiario.com;Spain;Western Europe;Spanish;43.25
Murcia diario;murciadiario.com;Spain;Western Europe;Spanish;37.25
Murcia noticias;murcianoticias.es;Spain;Western Europe;Spanish;23.5
Murcia.com;murcia.com;Spain;Western Europe;Spanish;45.5
Málaga Hoy;malagahoy.es;Spain;Western Europe;Spanish;53.75
NIUS;niusdiario.es;Spain;Western Europe;Spanish;52.25
Navarra digital;navarradigital.opennemas.com;Spain;Western Europe;Spanish;26.0
Navarra información;navarrainformacion.es;Spain;Western Europe;Spanish;23.25
Navarra norte;navarranorte.es;Spain;Western Europe;Spanish;10.25
Navarra sur;navarrasur.es;Spain;Western Europe;Spanish;13.25
Newtral;newtral.es;Spain;Western Europe;Spanish;45.75
Noticias de gipuzkoa;noticiasdegipuzkoa.eus;Spain;Western Europe;Spanish;50.5
Noticias de la rioja;sdi.es;Spain;Western Europe;Spanish;41.75
Noticias galicia;noticiasgalicia.com;Spain;Western Europe;Spanish;32.75
Noticias mallorca;noticiasmallorca.es;Spain;Western Europe;Spanish;21.5
Noticiero Madrid;noticieromadrid.es;Spain;Western Europe;Spanish;16.5
