;Media;Domain;Country;Region;Language;Global_rank;Overall
173;Navarra información;navarrainformacion.es;Spain;Western Europe;Spanish;3863.0;23.25
174;La tribuna del país vasco;latribunadelpaisvasco.com;Spain;Western Europe;Spanish;3888.0;22.75
175;El liberal;elliberal.cat;Spain;Western Europe;Spanish;3927.0;22.25
176;Don Diario;dondiario.com;Spain;Western Europe;Spanish;3979.0;21.5
177;El día de zamora;eldiadezamora.es;Spain;Western Europe;Spanish;3979.0;21.5
178;Galicia diario;galiciadiario.com;Spain;Western Europe;Spanish;3979.0;21.5
179;Noticias mallorca;noticiasmallorca.es;Spain;Western Europe;Spanish;3979.0;21.5
180;ÑTV ESPAÑA;ntvespana.com;Spain;Western Europe;Spanish;4045.0;20.5
181;El noticiero;elnoticierodigital.com;Spain;Western Europe;Spanish;4062.0;20.25
182;Canarias diario;canariasdiario.com;Spain;Western Europe;Spanish;4088.0;20.0
183;Noticiero Madrid;noticieromadrid.es;Spain;Western Europe;Spanish;4277.0;16.5
184;Diario sí;diariosi.com;Spain;Western Europe;Spanish;4345.0;15.25
185;Euskadi noticias;euskadinoticias.es;Spain;Western Europe;Spanish;4379.0;14.75
186;Navarra sur;navarrasur.es;Spain;Western Europe;Spanish;4452.0;13.25
187;Diari balear;diaribalear.es;Spain;Western Europe;Spanish;4553.0;11.5
188;Navarra norte;navarranorte.es;Spain;Western Europe;Spanish;4622.0;10.25
189;Diario Independiente Digital;diarioindependientedigital.com;Spain;Western Europe;Spanish;4692.0;9.0
190;Informaciones de cuenca;informacioncuenca.com;Spain;Western Europe;Spanish;4775.0;7.25
191;xataka;xataka.com;Spain;Western Europe;Spanish;;1.0
192;genbeta;genbeta.com;Spain;Western Europe;Spanish;;1.0
193;applesfera;applesfera.com;Spain;Western Europe;Spanish;;1.0
194;computerhoy;computerhoy.com;Spain;Western Europe;Spanish;;1.0
195;hipertextual;hipertextual.com;Spain;Western Europe;Spanish;;1.0
196;softzone;softzone.es;Spain;Western Europe;Spanish;;1.0
197;marca;marca.com;Spain;Western Europe;Spanish;;1.0
198;hobbyconsolas;hobbyconsolas.com;Spain;Western Europe;Spanish;;1.0
199;hobbyconsolas;hobbyconsolas.com;Spain;Western Europe;Spanish;;1.0
200;psicologiaymente;psicologiaymente.com;Spain;Western Europe;Spanish;;1.0
201;psicoactiva;psicoactiva.com;Spain;Western Europe;Spanish;;1.0
202;azsalud;azsalud.com;Spain;Western Europe;Spanish;;1.0
203;estilonext;estilonext.com;Spain;Western Europe;Spanish;;1.0
204;medlineplus.gov/spanish/;medlineplus.gov/spanish/;Spain;Western Europe;Spanish;;1.0
205;webconsultas;www.webconsultas.com;Spain;Western Europe;Spanish;;1.0
206;vitonica;www.vitonica.com;Spain;Western Europe;Spanish;;1.0
207;natursan;www.natursan.net;Spain;Western Europe;Spanish;;1.0
208;efesalud;efesalud.com;Spain;Western Europe;Spanish;;1.0
209;mundoasistencial;mundoasistencial.com;Spain;Western Europe;Spanish;;1.0
210;muyinteresante;muyinteresante.es;Spain;Western Europe;Spanish;;1.0
211;techradar;techradar.com|global.techradar.com;Spain;Western Europe;Spanish;;1.0
212;3djuegos;3djuegos.com;Spain;Western Europe;Spanish;;1.0
213;nintenderos;nintenderos.com;Spain;Western Europe;Spanish;;1.0
214;vidaextra;vidaextra.com;Spain;Western Europe;Spanish;;1.0
215;pixfans;pixfans.com;Spain;Western Europe;Spanish;;1.0
216;meristation;as.com/meristation/|meristation.com;Spain;Western Europe;Spanish;;1.0
217;cosasdejuegos;cosasdejuegos.es;Spain;Western Europe;Spanish;;1.0
218;borntoplay;borntoplay.es;Spain;Western Europe;Spanish;;1.0
219;medicoplus;medicoplus.com;Spain;Western Europe;Spanish;;1.0
